contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8353983367269914,0.0296204976319897,Inf,1,-5.072283637347226,3.9306992884749714e-7
B / A,Undived,0.9364489006055625,0.037347413975464205,Inf,1,-1.6463666573680191,0.09968829343223459
