Type,TransectOrder,prob,lower.HPD,upper.HPD
Dived,A,191.78071235608178,132.03631794082867,265.5098543654155
Undived,A,132.52293822025925,96.19103320688602,177.00799112975406
Dived,B,161.77567908805446,110.51973228156159,223.97235472235658
Undived,B,122.06910976540145,86.85291570131871,160.75885701911287
