contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Undived,0.9364492820634583,0.0373474308092936,Inf,1,-1.6463563721630654,0.09969040971678181
B / A,Dived,0.8353983196301918,0.029620497414189866,Inf,1,-5.072284148032112,3.9306887369561586e-7
