effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),1.098804401088609,0.16736329742812672,6.565384513653508,5.189876316943807e-11,0.7707783657956158,1.4268304363816025
fixed,cond,TypeUndived,-0.3665078203015316,0.24580331040338077,-1.4910613681323743,0.1359453837339875,-0.8482734559728773,0.11525781536981411
fixed,cond,TransectOrderB,-0.129573927070316,0.11700314867042107,-1.1074396590411835,0.2681038872438033,-0.35889588454212673,0.09974803040149471
fixed,cond,TypeUndived:TransectOrderB,0.38146223725209344,0.17827127106572008,2.139785255199457,0.03237212535671726,0.03205696648510481,0.7308675080190821
