effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-5.83944200132138,1.9572469735386766,-2.98349778043787,0.002849741026729678,-9.675575578307207,-2.003308424335555
fixed,cond,TypeUndived,0.9293487958227777,1.2207075958379683,0.7613197451964866,0.4464661097492513,-1.463194127674116,3.3218917193196713
fixed,cond,TransectOrderB,-1.098614948757114,1.154702256124362,-0.9514270392477631,0.3413876396585902,-3.3617897836280077,1.16455988611378
fixed,cond,TypeUndived:TransectOrderB,0.5108284741010202,1.2823606439682844,0.39835008700848284,0.6903721446975947,-2.0025522032684075,3.024209151470448
fixed,zi,(Intercept),-18.403986609882125,8222.747237202217,-0.0022381797809151757,0.998214192399492,-16134.692425502457,16097.884452282691
