effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-0.5125756845705208,0.528102098271986,-0.9705995985392418,0.3317477059692482,-1.5476367773436452,0.5224854082026037
fixed,cond,TypeUndived,-0.20386734248517957,0.6800669523760318,-0.29977539972043005,0.7643484810125031,-1.5367740762181177,1.1290393912477585
fixed,cond,TransectOrderB,-0.4798763662802238,0.3139962385088594,-1.5282869901853429,0.1264412986020879,-1.095297685038637,0.13554495247818932
fixed,cond,TypeUndived:TransectOrderB,0.7470594131495925,0.5062020299020746,1.4758127566065113,0.13999416523229977,-0.24507833435954107,1.739197160658726
fixed,zi,(Intercept),-0.9840445473693646,0.5767886255351438,-1.7060748145932478,0.08799415105457317,-2.1145294801106056,0.14644038537187654
