effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),3.079211332859884,0.14393346396121745,21.393296931209623,1.542609470748135e-101,2.797106927325804,3.361315738393964
fixed,cond,TypeUndived,-0.5524945187548259,0.20970324120937625,-2.6346494005936365,0.008422422917247856,-0.963505318966519,-0.14148371854313285
fixed,cond,TransectOrderB,-0.1498393372201615,0.043723942522184776,-3.4269402203183206,6.104234360118838e-4,-0.23553668982574305,-0.06414198461457993
fixed,cond,TypeUndived:TransectOrderB,0.04754655326540724,0.07166207915653544,0.663482748826596,0.5070214244878217,-0.09290854093866069,0.18800164746947517
