effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-7.043500868630303,1.8316475321721801,-3.845445559210457,1.2033358009246502e-4,-10.633464064059444,-3.453537673201161
fixed,cond,TypeUndived,-0.24318988971088507,1.7730315308536229,-0.13716049911069642,0.8909039328997532,-3.7182678336379023,3.231888054216132
fixed,cond,TransectOrderB,0.40547423814892936,0.6454988561748093,0.6281564006972025,0.5299014885590063,-0.8596802720154968,1.6706287483133555
fixed,cond,scale(Boats),-0.6818016035256284,1.1277010980519537,-0.6045942534802936,0.5454486258469569,-2.8920551410337287,1.5284519339824723
fixed,cond,TypeUndived:TransectOrderB,-1.0986257177681809,0.8897575892897946,-1.2347472288998456,0.21692459270875744,-2.842518547747359,0.6452671122109974
