contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8177930020486113,0.05647089098284946,Inf,1,-2.9129310930680323,0.0035805360163226633
B / A,Undived,0.8746134587006393,0.06265446821253776,Inf,1,-1.8701748238963611,0.06145954462286061
