effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-1.146592272431724,0.45679184852305316,-2.510097927839573,0.012069768483982888,-2.0418878439683836,-0.25129670089506406
fixed,cond,TypeUndived,-0.8118874134949137,0.6724207062000445,-1.2074098938490718,0.2272743271543849,-2.1298077801059896,0.5060329531161623
fixed,cond,TransectOrderB,0.08338129647906944,0.2889260737230723,0.28859041831921384,0.7728948287454998,-0.48290340221271655,0.6496659951708554
fixed,cond,scale(Boats),-0.2951935228955991,0.26427702102058576,-1.1169852064913548,0.2640006505098062,-0.8131669660374818,0.22277992024628368
fixed,cond,TypeUndived:TransectOrderB,-0.31977041187541927,0.45030720090749266,-0.7101161412275755,0.4776321175853066,-1.202356307633147,0.5628154838823085
