effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.16332027446340416,0.5472043026072229,0.29846306705785103,0.7653497604666096,-0.9091804508321095,1.2358209997589178
fixed,cond,TypeUndived,-1.0589458839883057,0.7993682138930904,-1.3247285363412409,0.18526120484275194,-2.625678793604873,0.5077870256282615
fixed,cond,TransectOrderB,0.019219239809749444,0.18044357985195872,0.10651107579176539,0.9151768681866711,-0.3344436779415669,0.37288215756106574
fixed,cond,TypeUndived:TransectOrderB,-0.17964875468516306,0.2951802033899523,-0.6086070563744254,0.5427849261518589,-0.7581913222786774,0.39889381290835124
fixed,zi,(Intercept),-2.3593892625733557,0.6287693271198593,-3.75239242884314,1.751549973478506e-4,-3.5917544983117633,-1.1270240268349478
