contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.3333315301640245,0.38489832726780043,Inf,1,-0.9514302673193492,0.34138600164327887
B / A,Undived,0.5555565608508365,0.3098745830902541,Inf,1,-1.0538061221875155,0.2919716899913468
