contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8140604330114336,0.04891736825539005,Inf,1,-3.4235092092991968,6.181815711838247e-4
B / A,Undived,0.9857008034103065,0.06724795578062909,Inf,1,-0.21110637659649376,0.8328042645562924
