contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8784696433285694,0.102783714280579,Inf,1,-1.107439659043961,0.2681038872426031
B / A,Undived,1.2864523456319032,0.17390991511528722,Inf,1,1.863276784741044,0.062423334623332036
