contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.29799790375119195,0.11783365534925477,Inf,1,-3.061746421103822,0.0022004978274813587
B / A,Undived,0.9634824316999568,0.2569906677963809,Inf,1,-0.1394701778875318,0.8890786201900891
