contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,1.062024921448588,0.24444961048248576,Inf,1,0.26144401200852374,0.7937501202201717
B / A,Undived,1.0495600722797338,0.3096442553502646,Inf,1,0.16395709530466915,0.8697649196401672
