contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,1.0853188405345708,0.13945894918848348,Inf,1,0.6371709007424518,0.5240135298641287
B / A,Undived,1.0836990751217632,0.2060734232433306,Inf,1,0.42270376463499965,0.6725114085652493
