effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),3.4791647714948506,0.09670765990900865,35.976103390035135,1.978138661272279e-283,3.2896212410440455,3.6687083019456557
fixed,cond,TypeUndived,-0.5129118981117892,0.14266433508220092,-3.5952356124343026,3.2409812425673585e-4,-0.792528856751257,-0.23329493947232133
fixed,cond,TransectOrderB,-0.07469114229371863,0.046978970920584916,-1.589884597940203,0.1118608200207165,-0.16676823332881957,0.017385948741382287
fixed,cond,TypeUndived:TransectOrderB,0.06457872028457506,0.07459197087089162,0.865759672664393,0.38662196850661906,-0.08161885615823328,0.2107762967273834
fixed,zi,(Intercept),-3.593514032047218,0.49244880702906224,-7.297233703797244,2.93744327178387e-13,-4.558695958053895,-2.628332106040541
