effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-0.09646108737054879,0.5265734827324801,-0.18318637480565042,0.8546517848016058,-1.1285261487400335,0.935603973998936
fixed,cond,TypeUndived,-1.0370806553041638,0.7467982835352851,-1.3887025160190574,0.16492322880756186,-2.500778394749654,0.4266170841413264
fixed,cond,TransectOrderB,-0.49836248118256576,0.22808061912674435,-2.185027746288368,0.028886812257881485,-0.945392280242582,-0.051332682122549544
fixed,cond,scale(Boats),-0.7479310444498063,0.3030213619182945,-2.468245273913974,0.013577724937608077,-1.3418420003559404,-0.15402008854367222
fixed,cond,TypeUndived:TransectOrderB,-0.23492787729913922,0.3588321737303833,-0.6547012628685231,0.512660112016726,-0.93822601430491,0.4683702597066316
