contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.7142883587398893,0.2957433857768114,Inf,1,-0.81264896784542,0.4164193477633152
B / A,Undived,1.928567201702653,0.6351564061527408,Inf,1,1.9942162804238386,0.04612842372028574
