contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.6755642961774772,0.28889181693590976,Inf,1,-0.917163422032279,0.35905701101817855
B / A,Undived,0.8435476668825705,0.33465774710846496,Inf,1,-0.4288567833553333,0.6680274523288487
