contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8608462712702991,0.03763959288545964,Inf,1,-3.4269402203183206,6.104234360118838e-4
B / A,Undived,0.9027651978066523,0.05093183394230317,Inf,1,-1.8131364648231418,0.06981077622950152
