contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.9280300713084694,0.043597897733428925,Inf,1,-1.589884597940203,0.1118608200207165
B / A,Undived,0.9899385366139467,0.05732406194292061,Inf,1,-0.17463305819678657,0.8613679710340774
