contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8541879772954526,0.1030947669092121,Inf,1,-1.3058222270040707,0.19161301951697352
B / A,Undived,0.7696245103942752,0.13293165978473856,Inf,1,-1.5160280628023837,0.12951225659739132
