contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.6083124049276291,0.1388279427591918,Inf,1,-2.1780330153251146,0.029403578864355916
B / A,Undived,0.4798137150300028,0.13343137520748186,Inf,1,-2.640718683159384,0.00827303820763286
