contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,1.0869561821087688,0.3140499820057073,Inf,1,0.28859041831921384,0.7728948287454998
B / A,Undived,0.7894734178957401,0.2726808489715551,Inf,1,-0.6844005495405162,0.4937222690990194
