contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.927942784488325,0.10746072452926038,Inf,1,-0.6457837463476351,0.5184194156384127
B / A,Undived,0.7582274569687657,0.07894797542843679,Inf,1,-2.6581558913098684,0.007856954051455147
