effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-3.8458695799632916,1.214465698908883,-3.166717333736598,0.0015417009561213924,-6.2261786102839665,-1.4655605496426163
fixed,cond,TypeUndived,-0.6897290473705006,0.8705102717451231,-0.7923272932642046,0.42816986137555507,-2.395897828163117,1.0164397334221156
fixed,cond,TransectOrderB,-0.3364685343922212,0.4140392072167418,-0.81264896784542,0.4164193477633152,-1.1479704687245513,0.475033399940109
fixed,cond,TypeUndived:TransectOrderB,0.9932458790691544,0.5290501039183261,1.8774136357082922,0.06046142405382689,-0.043673270627937355,2.030165028766246
