contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8014399455525822,0.06155381590722962,Inf,1,-2.8819482971659083,0.003952245787820416
B / A,Undived,1.1354280753445298,0.11121219146310271,Inf,1,1.2967141577592884,0.19472955617669765
