contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,1.5000136951236658,0.9682571244488754,Inf,1,0.6281564006972025,0.5299014885590063
B / A,Undived,0.49999785047496736,0.3061848175927901,Inf,1,-1.1319119366790245,0.2576714597578709
