"Functional_Group","average","sd","ratio","ava","avb","cumsum","p"
"HTLP",0.037884003574652,0.0375039531407429,1.01013360998194,0.15481292048299,0.199136187763305,0.343849996688434,0.023
"Mesopredator",0.0330176965549857,0.02437674957478,1.35447494563203,0.433893801009469,0.377109979262301,0.643531492302268,0.347
"Grazer",0.0199168622021953,0.0136759536636352,1.45634174347598,0.789835702748819,0.785337063690599,0.824304704108506,0.237
"Invertivore",0.0193573979401082,0.0135187842458956,1.43188896190759,0.383761983708646,0.389471400149629,1,0.832
