Functional_Group,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p,ci_low,ci_high
HTLP,m_nb,884.2631121869398,0.10377636080526657,0.22278929113312337,0.4658049777772175,0.6413551017275694,-0.3328906498156552,0.5404433714261884
Invertivore,m_nb_zi,1370.0756571990225,0.0871791949767991,0.0941673434542436,0.9257901070466102,0.35455506940407205,-0.09738879819351837,0.27174718814711657
Mesopredator,m_nb_boats,1418.8389586391356,-0.02392020338366329,0.09333628712157298,-0.2562797827227324,0.7977348071318698,-0.20685932614194633,0.15901891937461973
Grazer,m_nb_zi,1807.0038618451226,0.1334557018044248,0.06187059780840561,2.1570132911548137,0.031004628856748085,0.012189330099949783,0.2547220735088998
