effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),1.4951915742283446,0.36962401605127954,4.045168899471376,5.2285414565376614e-5,0.7707418149467821,2.219641333509907
fixed,cond,TypeUndived,-1.0633281008785893,0.557876425732785,-1.9060280231090256,0.05664656998410125,-2.156745803138782,0.030089601381603215
fixed,cond,TransectOrderB,-0.1809776398988267,0.13762393858522726,-1.315015699734182,0.18850462615238214,-0.4507156029364243,0.08876032313877091
fixed,cond,TypeUndived:TransectOrderB,0.10377636080526657,0.22278929113312337,0.4658049777772175,0.6413551017275694,-0.3328826259568639,0.5404353475673971
