contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8345701530195121,0.03444118252245802,Inf,1,-4.3820328290898685,1.1757708684583952e-5
B / A,Undived,0.9563865525283717,0.04233306447973339,Inf,1,-1.0074452566008052,0.3137208523552292
