contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8824889950214588,0.054871956765474544,Inf,1,-2.0104810983304313,0.04438029476807319
B / A,Undived,0.9628334477152345,0.06565293148866701,Inf,1,-0.5554535924047932,0.5785844443136395
