contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8344540169634321,0.11484084838277157,Inf,1,-1.315015699734182,0.18850462615238214
B / A,Undived,0.925703510090181,0.16325204616657313,Inf,1,-0.4377617109156536,0.6615590296176836
