effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),4.8083899397098,0.1602516149941975,30.005251053999707,8.381539402188897e-198,4.494302545856794,5.122477333562806
fixed,cond,TypeUndived,-0.45443173013892996,0.23484551672687315,-1.9350240808192094,0.052987340712952836,-0.9147204848543,0.005857024576440162
fixed,cond,TransectOrderB,-0.1809236348090256,0.04162381503377932,-4.346637487750682,1.3824041211432502e-5,-0.2625048131743899,-0.0993424564436613
fixed,cond,TypeUndived:TransectOrderB,0.1334557018044248,0.06187059780840561,2.1570132911548137,0.031004628856748085,0.01219155839798701,0.25471984521086255
fixed,zi,(Intercept),-4.45433467167807,0.7112015459473888,-6.263111627161142,3.7737027302359027e-10,-5.84826408748416,-3.06040525587198
