contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8768914319977387,0.052004291994760185,Inf,1,-2.215183686880472,0.02674745912187938
B / A,Undived,0.8615059776996086,0.059149407910117434,Inf,1,-2.1712394105160375,0.029913079687656375
