effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),3.551581378053206,0.20750060821915273,17.11600466395832,1.127534149735382e-65,3.144887659173511,3.9582750969329012
fixed,cond,TypeUndived,-0.9452416473188294,0.32974406906236575,-2.8665918086309907,0.004149177926682601,-1.5915281467967544,-0.2989551478409045
fixed,cond,TransectOrderB,-0.1316632769952844,0.060131728879437976,-2.189580766241807,0.02855465518135207,-0.24951929992710986,-0.013807254063458951
fixed,cond,scale(Boats),-0.22523198383601495,0.15068656906457312,-1.4947051036744834,0.13499142174074916,-0.5205722321564856,0.07010826448445573
fixed,cond,TypeUndived:TransectOrderB,-0.02392020334600179,0.09333628712314031,-0.2562797823149256,0.7977348074467407,-0.20685596455804633,0.15901555786604277
