Functional_Group,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p
HTLP,m_nb,884.2631121869398,0.10377636080526881,0.2227892911331063,0.4658049777772632,0.6413551017275366
Invertivore,m_nb_zi,1370.0756571990225,0.08717919497679924,0.0941673434542242,0.9257901070468025,0.354555069403972
Mesopredator,m_nb_boats,1418.838958639135,-0.02392020334600179,0.09333628712314031,-0.2562797823149256,0.7977348074467407
Grazer,m_nb_zi,1807.003861845121,0.13345570180442715,0.06187059780841673,2.157013291154464,0.03100462885677531
