contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.8766361289387833,0.05271364603126695,Inf,1,-2.189580766241807,0.02855465518135207
B / A,Undived,0.8559156218182006,0.06128461387854803,Inf,1,-2.1729162165377547,0.029786623721463755
