contrast,Type,ratio,SE,df,null,z.ratio,p.value
B / A,Dived,0.834499082944437,0.03473503547433619,Inf,1,-4.346637487750911,1.3824041211418069e-5
B / A,Undived,0.9536410530455819,0.0436412399165413,Inf,1,-1.0372613084085711,0.2996140925177032
